U,V,W,T
1.8641265712488493,0.3920556354759136,-0.01875960328531797,7.495846
1.8516841573510534,0.42848850381007114,-0.03195069094250064,7.511685
1.844843503656193,0.4261954186387685,-0.02024213163374946,7.478027
1.8562867352593613,0.3653285250454078,-0.0021252289020003354,7.474067
1.8433040732652355,0.42554025144696767,-0.033154883585590836,7.513665
1.8345712445934483,0.42259232997638524,-0.020504365954280526,7.483967
1.8000979125267067,0.41799439437705327,-0.004549912069519352,7.485947
1.8342690310402499,0.4235265617397593,-0.021502343501205362,7.458228
1.8705924572508892,0.40154280182273516,-0.032458254850941615,7.386952
1.8986200397002342,0.38945915900720574,-0.018869302803802133,7.394872
1.8914169254988853,0.41094526279582644,-0.03192663953165518,7.43249
1.873213129673373,0.43602226473073796,-0.03338161580056875,7.412691
1.883535997916953,0.39893456009730077,-0.010341991552742784,7.402792
1.8967036282747092,0.43169106875955016,-0.030801415958660948,7.450309
1.9033539845322494,0.41426928688663633,-0.010826332616406607,7.43249
1.884468982048926,0.39926181280068007,-0.01031817396223813,7.404771
1.8961730963540997,0.43169106875955016,-0.010019386670807116,7.404771
1.9046110897687154,0.44715944520630907,-0.01871636089157236,7.450309
1.9080858394705085,0.4359493246137341,-0.0008028807394435122,7.416651
1.8959793150148356,0.44421152373572664,-0.010024333598013982,7.442389
1.9006649003501637,0.39137604719143615,-0.001982597951110235,7.450309
1.9107043801935724,0.426279989585162,-0.01162895130746517,7.474067
1.9153540429645535,0.4363740406251334,-0.003588132706091117,7.458228
1.8940842264124227,0.4006692795997807,0.004781265623033597,7.460208
1.8801933007156817,0.38230116981424533,0.02027090285933577,7.470108
1.874472853853944,0.39505207597082315,0.02804698917185709,7.450309
1.8786906676640542,0.4405113026578444,0.01924227052210077,7.474067
1.8990931509261773,0.3816580987716921,0.02867550592114992,7.476047
1.870470729189593,0.3705695316872929,0.027944821339481927,7.458228
1.8713454032989818,0.43662891289821165,-0.009662935388376634,7.456248
1.8968956097670182,0.4185640599827446,0.01871675101569186,7.458228
1.9163733244915324,0.45267984731228855,0.02020424839362836,7.363194
1.9158415220107254,0.4492221735640552,0.006326957049414758,6.965237
1.9211091885446767,0.43833954220053584,-0.009382808177960104,7.08997
1.9106749332355673,0.4190859084096432,0.006195062313442724,7.335475
1.9045016729675681,0.4337051837261244,0.006037468866670004,7.398832
1.902163119519303,0.4465046089070294,0.003997244304907062,7.43249
1.9051081566340455,0.4349669047185541,0.006052951423254731,7.458228
1.8903568424262631,0.4118794001923557,-0.003236008678201556,7.476047
1.8918636642477924,0.40094824980450916,0.005714840746676837,7.501786
1.8867202579131428,0.4087006966488508,0.01845699058098447,7.513665
1.8709402409580345,0.4356946811348376,0.019044414542353318,7.519605
1.9013527571055608,0.4045513384668923,0.03665531020595543,7.470108
1.9085534631964494,0.41749660382131315,0.028917012540585162,7.483967
1.9133937085429793,0.40974415697697153,0.028050303729304105,7.483967
1.9233100614083318,0.40895534012774726,0.020381332176364814,7.468128
1.921172473081845,0.41955890691969333,-0.00046879994454279705,7.511685
1.9329734615174128,0.44572798257389756,-0.00016753961172859266,7.535444
1.9333746390947624,0.44166366065819057,-0.0011475707129881205,7.553263
1.9528817920500936,0.44195472701216665,-0.029367277419481162,7.555243
1.9511268008699394,0.4215846927761493,-0.009606769134250584,7.456248
1.9522628356884297,0.42191227637204975,-0.01749988814326567,7.456248
1.940154349950764,0.4283062007009838,-0.0009744955540711628,7.448329
1.9180884850774957,0.411054160468052,-0.009459921899139016,7.442389
1.9085723200385065,0.3658257158539532,-0.0017807341919837752,7.458228
1.9149392509987844,0.4194617745041944,-0.0016181966426444955,7.535444
1.9124345174428248,0.40941657338107107,0.029016089639111006,7.501786
1.8853558626663776,0.3664201735053345,0.0362469351135592,7.485947
1.872264722323636,0.373093068038997,0.005214511151481083,7.511685
1.851597123099571,0.3721467401263754,0.005677172969347305,7.541383
1.8539197196955044,0.3728019073181762,-0.012088310217558823,7.606719
1.8646562840911007,0.39238321907181406,-0.0029018402482799063,7.59088
1.884039503791023,0.39926181280068007,0.006505374984606842,7.59682
1.8716330081285566,0.3718312526797226,0.006188657022146382,7.60078
1.8923047909587505,0.379971661767863,-0.011108400830561298,7.616619
1.901112424843753,0.3810515449710633,-0.0009809008453675189,7.592861
1.9104213181826035,0.41815177101311396,0.028964695886590442,7.450309
1.9070466747085961,0.4284276598423149,0.019966153963404162,7.474067
1.891596306194646,0.37777570901205937,0.00570801552381426,7.59088
1.8816011256897858,0.3745002039455765,0.03119975009121496,7.59682
1.8913446524236754,0.3787098464085886,0.0027308036491970195,7.584941
1.8628632717256546,0.3907938201166392,0.0069550422174669,7.485947
1.9042565409376206,0.4064683210179676,0.019894926317259982,7.448329
1.899041805144066,0.38198568236759256,0.0672945334181747,7.406751
1.89195558164974,0.42977418057531963,0.05820124780428318,7.466148
1.9042565409376206,0.4064683210179676,0.019894926317259982,7.525544
1.9003038338518627,0.3797898239786336,0.006920577280065475,7.547323
1.8692346214769933,0.3711760854879218,0.026922992967251837,7.517625
1.8683320319931471,0.3789771457234353,-0.0037982668108552387,7.545343
1.868130086102772,0.38023886671586504,0.027885068470543454,7.487926
1.8462346720737808,0.3924196419468936,0.019403993462514507,7.527524
1.8164992608754649,0.37661158575498666,0.0037909082416791445,7.555243
1.8612047078474274,0.40046324951205603,-0.019824456296907628,7.59682
1.8434800981604136,0.4258678350428681,-0.0034424343566502105,7.553263
